Speaker,Dialogue
JACK,"Sorry, Mate. Jack reaches down and tugs hard, pulls, tugs -- SNAP! He holds a SKELETON LEG, pulled out at the hip. JACK  Mind if we take a little side trip? Didn't think so. * Using this makeshift oar, Jack turns the coffin, rows toward the Pearl ... 6"
JACK,"Complications arose, ensued, were overcome."
JACK,Shiny.
JACK,Is that how you're all feeling? That I'm not serving your interests as Captain? An awkward silence. Finally ...
JACK,What did the bird say?
JACK,"Keeps my aim sharp. Marty grabs the cloth before it blows away. The crew examines it. Marty turns it, revealing that it is a rough drawing of --"
JACK,"Better. (takes the cloth, displays it) It's a drawing of a key. Jack waits. The crew is not as impressed as Jack seems to expect. Jack can't believe they aren't more excited. JACK  Gentlemen, what do keys do?"
JACK,"No. If we don't have the key, we can't open whatever it unlocks, so what purpose would be served in finding whatever needs be unlocked without first having found the key that unlocks it? Honestly. Ninny."
JACK,"What good is a key if we have nothing for the key to unlock? Please, try and keep up! The crew considers this ... considers ... then shrug, nod, sure, that makes sense. They go with it."
JACK,Aye! A heading!
JACK,"I'll plot our course later.  Snap to and make sail! You know how it works! He strides toward his cabin. The crew turns to their tasks, but not happily."
JACK,Why is the rum always gone? He stands up -- and staggers a bit . JACK  Right. That's why. He makes his way carefully to the door -- 16
JACK, Steady as she goes ... 17
JACK,That's what I thought. Jack continues on -- 18
JACK,Bootstrap? Bill Turner?
JACK,Is this a dream?
JACK,"I thought not. If it were, there'd be rum. Bootstrap grins. Raises an arm, offering Jack -- a bottle of rum. Jack smiles. It costs a bit of effort to pull it loose, since Bootstrap's hand is also encrusted with barnacles. Jack sniff it. Rum. He wipes the mouth of the bottle."
JACK,Bouillabaisse ...  I had some help retrieving the Pearl. Your son. Bootstrap is taken aback.
JACK,Given a liberal definition of the word 'pirate.' He's got an unhealthy streak of honest to him.
JACK,And to what do I owe the pleasure of your carbuncle?
JACK,"Ah, it's you, then. He shanghaied you into service, then."
JACK,That is the kind of thinking bound to catch his attention.
JACK,Funny what a man'll do to forestall his final judgment.
JACK,Technically --
JACK,"The Flying Dutchman already has a captain, so there's no need for me. Bootstrap sighs, nods. The answer he expected."
JACK,Any idea on when Jones will release said terrible beastie?
JACK,"On deck! All hands!  Lift the skin up, make fast the bundt gasket! Keep your loof!  Have care of the lee hatch! Scurry! Movement, I want movement! The crew scrambles to obey -- 20"
JACK,"Haul those sheets! Haul 'em!  Run, mates, run, as if the devil himself and itself is on us! Gibbs searches, finds Jack hiding behind the mast."
JACK,Land!
JACK,"I didn't say port, I said land! Any land! The SKELETAL MONKEY chooses that moment to drop onto Jack's shoulder and scream. The Monkey does a spinning leg kick aimed at Jack's hat -- and the hat flies off, tumbles overboard. The Monkey leaps into the rigging, laughs. Revenge is sweet."
JACK,"No! Leave it. Slow head turn. Gibbs can't believe what he's heard. Neither can the Monkey. The rest of the Crew can't believe it, either."
JACK,Sh!
JACK,"Nothing. He gives Gibbs a little ""shoo, back to work"" gesture. Gibbs stares at Jack as Jack stares out at the water --"
JACK,"Save me. Will frowns -- Jack is the Chief, what's going on? But there is real desperation in Jack's eyes. Will is pulled away -- 46"
JACK,"I notice women here, but very few children -- why is that? Are the little ones the most tasty? No answer. Jack eyes an EMPTY SPIT with concern. Suddenly: JACK   Not big enough! Heads turn. Jack strides toward the empty spit. Points at the wood pile beneath it. JACK  Not big enough!  I am the Chief! More wood! I need more wood! Big fire! "
JACK,"Rope. Rope. Long rope. Or a chain. No. Preferably rope -- Jack pauses -- lifts up a small box of SPICES with the East India Trading Company insignia. A sound draws his attention -- Warrior is there. Spear raised, ready to kill him. JACK  Not running away, no ... Jack shifts into Cannibal language, saying the same with clicks and grunts. He pours out spice, rubs it on his body. JACK  See? 52"
JACK,Nice job. 53
JACK,"After them! Don’t let them get away! The Warrior nods - and everyone takes off -- The Runner with the torch hesitates, torn ... light the fire or run? He drops the torch, follows the others -- Jack’s eyes go wide as the torch rolls toward the wood beneath him. He twists on the spit, tries to blow the flame out ... and the extra air causes the wood to ignite with a FWOOMP! 56 IN THE CHASM, Will's cage reaches the top first -- 56 In the other cage, Leach grabs onto a vine -- that turns out to be a SNAKE. The men lose their grip, the cage falls -- -- the vine holding it SNAPS, and the cage drops away, into the abyss. Will’s cage rolls over the top and pirates scream. The vine holding it pulls out from the ground -- Cannibals appear -- The pirates STAND UP, their feet sticking out of the bottom of the cage -- and start to run."
JACK,"Good doggy! -- on his way to the Black Pearl. Catches a rope, scrambles on board. 63 ON THE BEACH, the Cannibals reach the shore, and stop ... they 63 yell, but the tone is more confused than angry -- why are you going? Why are you leaving us? 64 ANGLE - THE BLACK PEARL, as it pulls away from the island. 64 65 ON THE BEACH, the Cannibals shout and the Prison Dog BARKS. The 65 Cannibals gradually grow SILENT, and then it's only the dog"
JACK,"Yes to the first and yes to the second, but only insofar as we keep to the shallows as much as possible."
JACK,"I have every faith in your reconciliatory navigational skills, Mr. Gibbs.  Where's that monkey?  I want to shoot something. From ABOVE comes a frightened SCREECH, and then RAGETTI'S EYE falls to the deck, rolls away. Jack turns -- come face-to-face with Will."
JACK,Have you considered keeping a more watchful eye on her?  Maybe just lock her up somewhere?
JACK,There comes a time when one must take responsibility for one's mistakes. He tried to move past -- Will pulls his sword.
JACK,"So.  You get the Compass, you rescue your bonny lass -- again.  Where's my profit?"
JACK,Accepting those things is what you want me to do for you.  Agreed.  But what will you do for me? Will works this through -- gives up.
JACK,"Gibbs!  We have a need to go up the river. Gibbs, at the wheel, looks scared, reluctant."
JACK,"No, a resolute and unyielding need. Gibbs curses under his breath.  Gibbs spins the wheel."
JACK,"William.  I will trade to you the Compass, if you will help me find -- this. Jack pulls out the small cloth with the imprint of the key."
JACK,You want me to find this.  To save Elizabeth. Will takes the cloth.
JACK,How much do you know about Davy Jones?
JACK, Yep -- it's going to save Elizabeth. 69
